step,loss,lr,tokens_per_sec,elapsed_sec
52200,3.177556,1.00e-04,23997,9656.5
52300,3.209045,1.00e-04,24001,9674.9
52400,3.149610,1.00e-04,24004,9693.3
52500,3.107031,1.00e-04,24007,9711.7
52600,3.198955,1.00e-04,24008,9730.2
52700,3.139966,1.00e-04,24009,9748.6
52800,3.130348,1.00e-04,24010,9767.0
52900,3.261417,1.00e-04,24014,9785.5
53000,3.177492,1.00e-04,24018,9803.9
53100,3.146727,1.00e-04,24022,9822.3
53200,3.334524,1.00e-04,24020,9840.7
53300,3.291538,1.00e-04,24018,9859.2
53400,3.227864,1.00e-04,24015,9877.6
53500,3.303422,1.00e-04,24010,9896.0
53600,3.248902,1.00e-04,24004,9914.5
53700,3.190079,1.00e-04,23997,9932.9
53800,3.307960,1.00e-04,23998,9951.3
53900,3.285407,1.00e-04,24002,9969.7
54000,3.253510,1.00e-04,24006,9988.2
54100,3.291875,1.00e-04,24006,10006.6
54200,3.362003,1.00e-04,24003,10025.1
54300,3.303698,1.00e-04,24001,10043.5
54400,3.331007,1.00e-04,23997,10061.9
54500,3.291797,1.00e-04,23990,10080.4
54600,3.251752,1.00e-04,23984,10098.8
54700,3.275932,1.00e-04,23978,10117.2
54800,3.197655,1.00e-04,23973,10135.7
54900,3.070715,1.00e-04,23969,10154.1
55000,2.998039,1.00e-04,23964,10172.5
55100,2.932644,1.00e-04,23956,10191.0
55200,2.870788,1.00e-04,23948,10209.4
55300,2.856935,1.00e-04,23940,10227.9
55400,3.226082,1.00e-04,23933,10246.3
55500,3.080598,1.00e-04,23927,10264.7
55600,3.062617,1.00e-04,23920,10283.2
55700,3.237829,1.00e-04,23915,10301.6
55800,3.226204,1.00e-04,23909,10320.1
55900,3.118295,1.00e-04,23903,10338.5
56000,3.325031,1.00e-04,23902,10356.9
56100,3.287776,1.00e-04,23902,10375.3
56200,3.261972,1.00e-04,23902,10393.8
56300,3.276655,1.00e-04,23903,10412.2
56400,3.267769,1.00e-04,23904,10430.6
56500,3.217956,1.00e-04,23905,10449.0
56600,3.277996,1.00e-04,23906,10467.5
56700,3.299500,1.00e-04,23907,10485.9
56800,3.242836,1.00e-04,23908,10504.3
56900,3.249206,1.00e-04,23908,10522.7
57000,3.227161,1.00e-04,23905,10541.2
57100,3.166331,1.00e-04,23901,10559.6
57200,3.195448,1.00e-04,23899,10578.0
57300,3.247310,1.00e-04,23899,10596.5
57400,3.173094,1.00e-04,23900,10614.9
57500,3.154660,1.00e-04,23900,10633.3
57600,3.197994,1.00e-04,23899,10651.8
57700,3.178877,1.00e-04,23898,10670.2
57800,3.166136,1.00e-04,23896,10688.6
57900,3.322168,1.00e-04,23896,10707.1
58000,3.235914,1.00e-04,23896,10725.5
58100,3.192981,1.00e-04,23897,10743.9
58200,3.194051,1.00e-04,23897,10762.4
58300,3.157379,1.00e-04,23897,10780.8
58400,3.146564,1.00e-04,23897,10799.2
58500,3.213489,1.00e-04,23897,10817.7
58600,3.160688,1.00e-04,23897,10836.1
58700,3.161944,1.00e-04,23896,10854.5
58800,3.222042,1.00e-04,23896,10872.9
58900,3.169280,1.00e-04,23895,10891.4
59000,3.202878,1.00e-04,23895,10909.8
59100,3.176687,1.00e-04,23896,10928.2
59200,3.174126,1.00e-04,23895,10946.7
59300,3.108440,1.00e-04,23895,10965.1
59400,3.171302,1.00e-04,23895,10983.6
59500,3.199868,1.00e-04,23894,11002.0
59600,3.127922,1.00e-04,23894,11020.4
59700,3.116396,1.00e-04,23893,11038.9
59800,3.116283,1.00e-04,23891,11057.3
59900,3.076318,1.00e-04,23889,11075.7
60000,3.057965,1.00e-04,23887,11094.1
60100,3.139036,1.00e-04,23884,11113.0
60200,3.085722,1.00e-04,23882,11131.4
60300,3.054577,1.00e-04,23879,11149.8
60400,3.143185,1.00e-04,23880,11168.2
